age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,y
46,3,0,1,0,265,1,0,5,1,541,1,-1,0,0
53,10,3,3,0,947,1,0,5,1,163,1,-1,0,0
34,8,1,1,0,3,1,0,5,1,301,1,-1,0,0
57,9,0,0,0,42,0,0,5,1,46,1,-1,0,0
37,3,0,1,0,37,1,0,5,1,204,1,-1,0,0
59,3,0,1,0,57,1,0,5,1,98,1,-1,0,0
33,7,0,1,0,22,1,0,5,1,71,1,-1,0,0
56,3,3,3,0,8,1,0,5,1,157,2,-1,0,0
48,9,0,1,0,293,1,0,5,1,243,1,-1,0,0
43,7,0,3,0,3,1,0,5,1,186,2,-1,0,0
54,3,0,3,0,348,1,0,5,1,579,2,-1,0,0
51,3,0,4,0,-19,1,0,5,1,163,2,-1,0,0
26,11,1,1,0,0,1,0,5,1,610,2,-1,0,0
40,0,0,0,0,-4,1,0,5,1,2033,1,-1,0,0
39,0,0,1,0,18,1,0,5,1,85,1,-1,0,0
50,1,0,3,0,139,0,0,5,1,114,2,-1,0,0
41,7,0,1,0,0,1,0,5,1,114,2,-1,0,0
51,3,0,4,0,1883,1,0,5,1,57,1,-1,0,0
60,5,3,1,0,216,1,0,5,1,238,1,-1,0,0
52,3,0,1,0,782,1,0,5,1,93,3,-1,0,0
48,3,0,1,0,904,1,0,5,1,128,2,-1,0,0
48,7,0,4,0,1705,1,0,5,1,107,1,-1,0,0
39,1,1,0,0,47,1,0,5,1,181,1,-1,0,0
47,7,1,1,0,176,1,0,5,1,303,2,-1,0,0
40,3,0,1,0,1225,1,0,5,1,558,5,-1,0,0
45,1,0,1,0,86,1,0,5,1,270,1,-1,0,0
26,6,1,1,0,82,1,0,5,1,228,1,-1,0,0
52,0,0,0,0,271,1,0,5,1,99,1,-1,0,0
54,1,0,1,0,1378,1,0,5,1,240,1,-1,0,0
54,6,0,0,0,184,0,0,5,1,673,2,-1,0,1
50,3,0,3,0,0,0,0,5,1,233,3,-1,0,0
35,3,0,1,0,0,1,0,5,1,1056,1,-1,0,0
44,7,0,1,0,1357,1,1,5,1,250,1,-1,0,0
53,2,0,4,0,19,1,0,5,1,252,1,-1,0,0
35,5,1,3,0,434,0,0,5,1,138,1,-1,0,0
60,6,3,1,0,92,1,0,5,1,130,1,-1,0,0
53,6,3,1,0,1151,1,0,5,1,412,1,-1,0,0
48,9,0,1,0,41,1,0,5,1,179,2,-1,0,0
34,1,0,1,0,51,1,0,5,1,19,2,-1,0,0
54,7,0,1,0,214,1,0,5,1,458,2,-1,0,0
51,0,0,1,0,1161,1,0,5,1,717,1,-1,0,0
31,7,0,0,0,37,1,0,5,1,313,1,-1,0,0
35,1,3,1,0,787,1,0,5,1,683,2,-1,0,0
35,7,0,1,0,59,1,0,5,1,1077,1,-1,0,0
38,1,0,1,0,253,1,0,5,1,416,1,-1,0,0
36,6,0,0,0,211,1,0,5,1,146,2,-1,0,0
58,5,0,3,0,235,1,0,5,1,167,1,-1,0,0
40,7,3,4,0,4384,1,0,5,1,315,1,-1,0,0
54,0,0,1,0,4080,0,0,5,1,140,1,-1,0,0
34,3,1,1,0,53,1,1,5,1,346,1,-1,0,0
31,0,1,0,0,0,1,0,5,1,562,1,-1,0,0
51,5,0,1,0,2127,1,0,5,1,172,1,-1,0,0
33,0,0,0,0,377,1,0,5,1,217,1,-1,0,0
55,0,0,0,0,73,1,0,5,1,142,2,-1,0,0
42,6,0,1,0,445,1,0,5,1,67,1,-1,0,0
34,3,0,1,0,243,1,0,5,1,291,1,-1,0,0
33,3,1,1,0,307,1,0,5,1,309,2,-1,0,0
38,7,0,1,0,155,1,0,5,1,248,1,-1,0,0
50,1,3,0,0,173,0,1,5,1,98,1,-1,0,0
43,0,0,0,0,400,1,0,5,1,256,1,-1,0,0
61,3,3,3,0,1428,1,0,5,1,82,2,-1,0,0
47,6,0,1,0,219,1,0,5,1,577,1,-1,0,0
48,8,0,0,0,7,1,0,5,1,286,1,-1,0,0
44,3,0,1,0,575,1,0,5,1,477,1,-1,0,0
35,11,1,4,0,298,1,0,5,1,611,2,-1,0,0
35,7,0,1,0,0,1,0,5,1,471,1,-1,0,0
50,7,0,1,0,5699,1,0,5,1,381,2,-1,0,0
41,0,0,0,0,176,1,1,5,1,42,1,-1,0,0
41,0,0,0,0,517,1,0,5,1,251,1,-1,0,0
39,7,1,4,0,257,1,0,5,1,408,1,-1,0,0
42,5,0,1,0,56,1,0,5,1,215,1,-1,0,0
38,3,0,1,0,-390,1,0,5,1,287,1,-1,0,0
53,5,0,1,0,330,1,0,5,1,216,2,-1,0,0
59,10,3,3,0,195,0,0,5,1,366,2,-1,0,0
36,7,0,1,0,301,1,0,5,1,210,1,-1,0,0
54,3,0,3,0,-41,1,0,5,1,288,1,-1,0,0
40,1,0,0,0,483,1,0,5,1,168,1,-1,0,0
47,4,0,4,0,28,0,0,5,1,338,2,-1,0,0
53,9,0,4,0,13,0,0,5,1,410,3,-1,0,0
46,10,0,3,0,965,0,0,5,1,177,1,-1,0,0
39,0,0,0,0,378,1,1,5,1,127,2,-1,0,0
40,9,0,1,0,219,1,0,5,1,357,1,-1,0,0
28,3,0,3,0,324,1,0,5,1,175,1,-1,0,0
35,2,3,1,0,-69,1,0,5,1,300,1,-1,0,0
55,5,0,1,0,0,0,1,5,1,136,1,-1,0,0
43,1,3,4,0,205,1,0,5,1,1419,1,-1,0,0
48,3,0,3,0,278,1,0,5,1,125,2,-1,0,0
58,0,0,4,0,1065,1,0,5,1,213,3,-1,0,0
33,0,1,0,0,34,1,0,5,1,27,1,-1,0,0
36,3,0,4,0,1033,0,0,5,1,238,2,-1,0,0
53,7,3,1,0,1467,1,0,5,1,124,1,-1,0,0
47,3,0,3,0,-12,1,0,5,1,18,1,-1,0,0
31,7,0,1,0,388,1,0,5,1,730,2,-1,0,0
57,2,0,1,0,294,1,0,5,1,746,2,-1,0,0
53,3,0,4,0,1827,0,0,5,1,121,1,-1,0,0
55,3,0,3,0,627,1,0,5,1,247,1,-1,0,0
45,3,0,3,0,25,1,0,5,1,40,1,-1,0,0
53,6,3,1,0,315,1,0,5,1,181,2,-1,0,0
37,3,0,3,0,0,1,0,5,1,79,1,-1,0,0
44,6,3,1,0,66,1,0,5,1,206,1,-1,0,0
49,3,3,3,0,-9,1,1,5,1,389,1,-1,0,0
46,1,0,1,0,349,1,1,5,1,127,1,-1,0,0
43,2,0,4,0,100,1,0,5,1,702,1,-1,0,0
38,6,0,1,0,0,0,0,5,1,151,1,-1,0,0
43,1,0,1,0,434,1,0,5,1,117,1,-1,0,0
49,0,0,0,0,3237,1,0,5,1,232,3,-1,0,0
42,0,0,4,0,275,0,0,5,1,408,2,-1,0,0
22,3,1,1,0,0,1,0,5,1,179,2,-1,0,0
40,0,0,0,0,207,1,0,5,1,39,1,-1,0,0
39,3,0,1,0,483,1,0,5,1,282,1,-1,0,0
51,7,0,1,0,2248,1,0,5,1,714,2,-1,0,0
49,6,0,1,0,428,1,0,5,1,50,1,-1,0,0
53,3,0,1,0,0,1,1,5,1,181,1,-1,0,0
34,7,1,1,0,0,1,0,5,1,142,1,-1,0,0
33,1,3,1,0,140,1,0,5,1,227,1,-1,0,0
50,0,1,0,0,297,1,0,5,1,119,1,-1,0,0
39,3,0,3,0,279,1,0,5,1,361,1,-1,0,0
59,2,3,1,0,901,1,0,5,1,73,3,-1,0,0
30,1,1,1,0,2573,1,0,5,1,67,2,-1,0,0
36,7,0,1,0,143,1,1,5,1,350,1,-1,0,0
40,3,0,1,0,475,1,0,5,1,332,2,-1,0,0
53,3,0,1,0,70,1,0,5,1,611,2,-1,0,0
34,0,1,0,0,318,1,0,5,1,113,2,-1,0,0
37,1,0,1,0,275,1,0,5,1,132,1,-1,0,0
42,0,3,0,0,742,1,0,5,1,58,3,-1,0,0
41,2,0,3,0,236,1,0,5,1,151,1,-1,0,0
30,11,1,0,0,25,1,0,5,1,89,2,-1,0,0
37,0,1,0,0,600,1,0,5,1,152,1,-1,0,0
39,6,3,1,0,-349,1,0,5,1,611,2,-1,0,0
41,3,0,3,0,183,1,1,5,1,110,2,-1,0,0
40,3,0,3,0,0,1,0,5,1,463,1,-1,0,0
42,0,1,0,0,0,1,1,5,1,562,2,-1,0,1
40,3,3,3,0,0,1,0,5,1,962,1,-1,0,0
57,1,0,1,0,1078,1,0,5,1,10,4,-1,0,0
56,2,3,1,0,155,0,0,5,1,118,3,-1,0,0
37,6,0,1,0,190,1,0,5,1,92,2,-1,0,0
59,5,0,1,0,319,1,0,5,1,143,3,-1,0,0
39,7,3,1,0,-185,1,0,5,1,189,3,-1,0,0
49,7,0,1,0,47,0,0,5,1,234,2,-1,0,0
38,7,1,1,0,570,1,0,5,1,75,2,-1,0,0
36,8,0,0,0,19,0,0,5,1,189,2,-1,0,0
50,3,0,3,0,61,1,0,5,1,621,3,-1,0,0
41,6,0,1,0,-62,1,1,5,1,55,2,-1,0,0
54,1,0,0,0,258,0,0,5,1,310,4,-1,0,0
58,3,0,3,0,76,1,0,5,1,156,2,-1,0,0
30,3,1,1,0,0,1,0,5,1,5,2,-1,0,0
33,6,1,1,0,352,1,0,5,1,225,2,-1,0,0
47,6,0,1,0,368,1,0,5,1,125,2,-1,0,0
50,1,1,0,0,339,1,0,5,1,2,3,-1,0,0
32,3,0,1,0,1331,1,0,5,1,286,2,-1,0,0
40,8,0,1,0,672,1,0,5,1,164,2,-1,0,0
37,0,0,0,0,58,1,0,5,1,98,2,-1,0,0
54,1,1,4,0,447,1,0,5,1,742,2,-1,0,0
24,11,1,1,0,423,1,0,5,1,226,3,-1,0,0
54,0,0,0,0,0,0,0,5,1,120,2,-1,0,0
34,1,0,1,0,19,1,0,5,1,362,4,-1,0,0
56,1,3,3,0,13,1,0,5,1,357,2,-1,0,0
31,3,1,1,0,3,1,0,5,1,200,2,-1,0,0
24,11,1,1,0,82,1,0,5,1,204,2,-1,0,0
42,3,3,3,0,28,1,0,5,1,126,3,-1,0,0
57,1,0,1,0,792,1,0,5,1,65,2,-1,0,0
42,3,0,4,0,408,1,0,5,1,107,2,-1,0,0
51,6,0,1,0,531,1,0,5,1,267,2,-1,0,0
57,5,0,1,0,211,1,0,5,1,248,2,-1,0,0
36,7,1,1,0,62,1,0,5,1,215,2,-1,0,0
53,7,0,4,0,257,1,0,5,1,209,2,-1,0,0
50,1,0,1,0,1234,1,0,5,1,205,2,-1,0,0
54,0,0,0,0,313,1,0,5,1,83,2,-1,0,0
55,3,0,1,0,89,1,0,5,1,106,3,-1,0,0
44,3,0,1,0,129,1,1,5,1,189,2,-1,0,0
43,0,0,4,0,0,1,0,5,1,105,2,-1,0,0
56,6,0,1,0,353,1,0,5,1,106,2,-1,0,0
54,1,0,4,0,851,1,0,5,1,108,2,-1,0,0
55,7,3,3,0,96,1,1,5,1,311,2,-1,0,0
37,7,3,1,0,398,1,1,5,1,214,2,-1,0,0
33,6,1,0,0,193,0,0,5,1,132,2,-1,0,0
46,6,0,1,0,-358,1,0,5,1,358,2,-1,0,0
36,3,0,1,0,539,1,1,5,1,453,2,-1,0,0
51,1,1,1,0,0,1,0,5,1,364,2,-1,0,0
40,5,1,3,0,0,0,0,5,1,136,2,-1,0,0
42,3,0,1,0,490,1,0,5,1,386,2,-1,0,0
51,3,0,1,0,0,1,0,5,1,173,2,-1,0,0
49,3,0,4,0,403,1,0,5,1,241,2,-1,0,0
48,0,0,1,0,161,1,0,5,1,224,3,-1,0,0
32,1,3,0,0,2558,0,0,5,1,148,2,-1,0,0
31,6,1,1,0,98,1,0,5,1,196,2,-1,0,0
55,0,1,0,0,115,0,0,5,1,111,4,-1,0,0
40,3,1,1,0,436,1,0,5,1,231,3,-1,0,0
47,1,0,0,0,831,1,0,5,1,316,3,-1,0,0
57,1,0,4,0,206,1,0,5,1,216,3,-1,0,0
41,3,0,1,0,290,1,0,5,1,240,2,-1,0,0
48,3,0,1,0,1,0,0,5,1,669,3,-1,0,0
42,3,0,4,0,57,1,0,5,1,425,2,-1,0,0
30,3,1,1,0,-457,1,0,5,1,143,2,-1,0,0
58,0,1,0,0,1387,1,0,5,1,174,5,-1,0,0
45,0,3,0,0,24598,1,0,5,1,313,3,-1,0,0
49,3,0,1,0,30,1,0,5,1,135,4,-1,0,0
42,6,1,1,0,1022,1,0,5,1,146,2,-1,0,0
53,1,0,1,0,56,1,1,5,1,152,2,-1,0,0
51,6,1,1,1,-2,0,0,5,1,402,3,-1,0,0
32,7,1,1,0,121,1,0,5,1,213,2,-1,0,0
41,3,1,1,0,842,1,0,5,1,144,3,-1,0,0
43,0,3,1,0,693,1,0,5,1,124,3,-1,0,0
40,3,3,1,0,-333,1,0,5,1,183,2,-1,0,0
50,3,0,3,0,1533,1,0,5,1,325,2,-1,0,0
34,0,0,0,0,46,1,0,5,1,39,4,-1,0,0
53,7,0,4,0,18,0,0,5,1,503,2,-1,0,0
45,1,0,1,0,44,1,0,5,1,95,4,-1,0,0
39,3,0,3,0,-100,1,0,5,1,680,2,-1,0,0
44,7,0,0,0,510,1,0,5,1,421,4,-1,0,0
55,0,0,0,0,685,1,0,5,1,174,3,-1,0,0
46,0,1,0,0,187,1,0,5,1,113,2,-1,0,0
45,3,0,1,0,66,1,0,5,1,808,2,-1,0,0
34,6,0,1,0,560,1,0,5,1,198,3,-1,0,0
36,3,0,1,0,0,1,0,5,1,195,2,-1,0,0
59,4,3,4,0,27,0,0,5,1,347,3,-1,0,0
31,6,1,1,0,12,1,0,5,1,208,2,-1,0,0
44,3,1,1,0,34,1,0,5,1,404,4,-1,0,0
33,2,1,0,0,1068,1,0,5,1,396,2,-1,0,0
40,3,0,1,0,211,1,0,5,1,216,4,-1,0,0
46,6,1,0,0,377,1,0,5,1,98,2,-1,0,0
48,0,0,0,0,263,1,0,5,1,350,2,-1,0,0
42,7,0,1,0,1263,1,0,6,1,114,2,-1,0,0
27,7,0,1,0,8,1,0,6,1,88,3,-1,0,0
48,6,0,1,0,126,1,1,6,1,379,2,-1,0,0
59,6,0,1,0,230,1,0,6,1,190,3,-1,0,0
46,1,0,0,0,841,1,0,6,1,158,1,-1,0,0
38,6,3,1,0,308,1,0,6,1,102,1,-1,0,0
43,0,3,0,0,1,1,0,6,1,306,1,-1,0,0
38,6,3,0,0,86,1,0,6,1,218,1,-1,0,0
23,11,1,1,0,157,1,0,6,1,54,1,-1,0,0
34,7,0,1,0,22,1,0,6,1,344,1,-1,0,0
38,6,0,1,0,46,1,1,6,1,195,1,-1,0,0
37,3,0,1,0,1293,0,0,6,1,652,1,-1,0,0
25,6,1,1,0,122,1,0,6,1,286,1,-1,0,0
48,3,0,4,0,131,1,0,6,1,189,1,-1,0,0
49,3,1,1,0,143,1,0,6,1,83,1,-1,0,0
38,6,1,1,0,393,0,0,6,1,184,2,-1,0,0
43,3,0,3,0,98,1,0,6,1,235,1,-1,0,0
33,0,0,0,0,0,1,0,6,1,290,1,-1,0,0
55,3,0,1,0,224,1,0,6,1,232,1,-1,0,0
38,3,0,1,0,757,1,0,6,1,133,1,-1,0,0
49,7,0,1,0,245,1,1,6,1,318,1,-1,0,0
40,0,0,1,0,8486,0,0,6,1,260,3,-1,0,0
43,6,0,4,0,350,0,0,6,1,437,1,-1,0,0
38,3,0,1,0,20,1,0,6,1,402,1,-1,0,0
58,7,0,1,0,1667,1,1,6,1,85,1,-1,0,0
57,1,0,4,0,345,1,0,6,1,125,1,-1,0,0
32,9,0,1,0,10,1,0,6,1,501,4,-1,0,0
56,0,0,0,0,830,1,1,6,1,1201,1,-1,0,1
58,3,3,4,0,29,1,0,6,1,253,1,-1,0,0
60,5,3,1,0,545,1,0,6,1,1030,1,-1,0,1
37,1,0,0,0,8730,1,0,6,1,149,1,-1,0,0
46,1,3,0,0,477,1,0,6,1,114,1,-1,0,0
27,6,0,1,0,4,1,0,6,1,243,1,-1,0,0
43,3,0,1,0,1205,1,0,6,1,769,2,-1,0,0
32,1,1,1,0,0,1,1,6,1,135,3,-1,0,0
40,6,1,1,0,263,1,0,6,1,231,1,-1,0,0
38,6,0,1,0,1,0,0,6,1,76,1,-1,0,0
34,3,0,1,0,283,0,1,6,1,199,1,-1,0,0
47,3,0,3,0,206,1,0,6,1,152,1,-1,0,0
42,10,0,3,0,17,1,0,6,1,124,1,-1,0,0
48,1,0,1,0,141,1,1,6,1,424,1,-1,0,0
29,8,1,0,0,16,1,0,6,1,43,1,-1,0,0
50,7,0,1,0,206,1,0,6,1,154,1,-1,0,0
52,1,0,4,0,7,0,0,6,1,203,2,-1,0,0
50,0,0,0,0,0,0,0,6,1,326,1,-1,0,0
58,5,0,0,0,0,0,0,6,1,393,1,-1,0,0
46,3,3,3,0,1927,1,0,6,1,241,3,-1,0,0
38,1,0,1,0,284,1,0,6,1,483,1,-1,0,0
46,3,0,1,0,1660,1,0,6,1,259,1,-1,0,0
32,7,1,1,0,406,1,0,6,1,227,1,-1,0,0
51,3,0,3,0,230,1,0,6,1,673,1,-1,0,0
39,6,1,1,0,-25,1,0,6,1,576,1,-1,0,0
48,6,0,1,0,182,1,0,6,1,180,2,-1,0,0
36,2,0,0,0,1169,1,0,6,1,168,2,-1,0,0
34,6,3,1,0,67,1,0,6,1,90,1,-1,0,0
40,1,0,1,0,77,0,0,6,1,505,1,-1,0,0
43,9,0,1,0,0,1,0,6,1,245,1,-1,0,0
52,3,3,3,0,55,1,1,6,1,186,1,-1,0,0
33,1,0,1,1,72,1,0,6,1,623,1,-1,0,0
49,0,1,0,0,163,1,0,6,1,496,3,-1,0,0
32,0,1,0,0,151,1,0,6,1,118,1,-1,0,0
39,6,1,1,0,113,1,0,6,1,342,1,-1,0,0
40,3,0,1,0,0,1,0,6,1,225,1,-1,0,0
38,1,1,0,0,9,1,0,6,1,185,3,-1,0,0
43,0,0,1,0,375,1,0,6,1,196,2,-1,0,0
39,7,0,1,0,1142,1,0,6,1,276,1,-1,0,0
54,3,0,3,0,2102,1,0,6,1,76,1,-1,0,0
38,1,1,0,0,4325,1,0,6,1,87,1,-1,0,0
40,3,0,1,0,217,1,0,6,1,195,1,-1,0,0
55,6,0,1,0,131,1,0,6,1,744,1,-1,0,0
42,0,0,0,0,1680,1,0,6,1,765,1,-1,0,0
39,3,0,1,0,0,1,0,6,1,262,1,-1,0,0
40,3,0,3,0,46,1,0,6,1,119,1,-1,0,0
32,3,0,1,0,320,1,0,6,1,198,2,-1,0,0
55,6,0,1,0,183,1,0,6,1,150,1,-1,0,0
45,3,0,1,0,39,0,0,6,1,241,1,-1,0,0
35,0,1,0,0,560,1,0,6,1,181,1,-1,0,0
58,1,3,1,0,469,0,0,6,1,196,1,-1,0,0
35,6,0,1,0,530,1,0,6,1,149,1,-1,0,0
49,7,0,3,0,61,1,0,6,1,246,1,-1,0,0
34,1,1,0,0,242,1,0,6,1,112,1,-1,0,0
36,3,0,1,0,139,1,0,6,1,309,2,-1,0,0
24,8,1,1,0,0,1,0,6,1,278,1,-1,0,0
34,1,0,1,0,367,1,0,6,1,140,1,-1,0,0
